sentence,sentiment,confidence,type
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,1,66,secondary_test
"`` We are happy to be working with Rapala to encourage boaters and anglers to introduce newcomers to the sport , '' said RBFF President & CEO Frank Peterson .",1,66,secondary_test
UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,1,66,secondary_test
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",1,66,secondary_test
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",1,66,secondary_test
"The Nokian tyre proves its high safety excellently in the important driving qualities stability with mark 1.4 , handling 1.5 and braking on wet road with 1.9 .",1,66,secondary_test
"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",1,66,secondary_test
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",1,66,secondary_test
President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,1,66,secondary_test
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",1,66,secondary_test
"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",1,66,secondary_test
`` Residentialconstruction in particular has picked up in several markets .,1,66,secondary_test
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,1,66,secondary_test
The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,1,66,secondary_test
"`` The acquisition of Sampo Bank makes strategic sense for DB , '' says Lindsey Liddell , director of Fitch Ratings 's Financial Institutions Group .",1,66,secondary_test
"Also , it is bringing in `` the right kind of people '' to upgrade its human resources .",1,66,secondary_test
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,1,66,secondary_test
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",1,66,secondary_test
We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',1,66,secondary_test
Synergy benefits will start to materialise in the second quarter .,1,66,secondary_test
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",1,66,secondary_test
"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",1,66,secondary_test
UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,1,66,secondary_test
"HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",1,66,secondary_test
These companies will be able to keep their market positions .,1,66,secondary_test
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,1,66,secondary_test
"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",1,66,secondary_test
"`` In the newly formed company YIT Stavo the local contact network , expertise and market know how of Euro Stavokonsult will be combined with YIT 's housing concept , '' said Juha Kostiainen , Yit 's Vice President , Corporate Communications and Business Development .",1,66,secondary_test
"`` Nokia 's Calling All Innovators Africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . ''",1,66,secondary_test
"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .",1,66,secondary_test
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",1,66,secondary_test
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,1,66,secondary_test
"The company 's goal is to achieve annual savings of EUR 2 million ( USD 2.7 m ) , of which two thirds are to be realized in 2010 .",1,66,secondary_test
"So far , Mr. Galvan he has been able to avoid laying off workers .",1,66,secondary_test
DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -® 2006 Digitalmediaasia.com & DMA Ltd. .,1,66,secondary_test
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",1,66,secondary_test
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",1,66,secondary_test
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,1,66,secondary_test
The agreement expands Tekla Structures ' scope of use to bridge design .,1,66,secondary_test
Production will expand to other of Elcoteq 's locations including Mexico and Hungary during 2010 .,1,66,secondary_test
"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",1,66,secondary_test
Repeats sees 2008 EBITA above 18 pct of sales .,1,66,secondary_test
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,1,66,secondary_test
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",1,66,secondary_test
"Tectia Corporation HEL : TEC1V , a provider of real-time security solutions , today announced that it has appointed LAN2LAN , a provider of IT services in the UK , to distribute its data security and manage file transfer software .",1,66,secondary_test
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',1,66,secondary_test
- I am pleased that Bjorn Wahlroos has accepted the nomination .,1,66,secondary_test
"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .",1,66,secondary_test
"Under a memorandum of understanding MoU the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies .",1,66,secondary_test
"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",1,66,secondary_test
Metso said it has won an order worth around 40 mln eur to supply a kraftliner board machine to China 's Lee & Man Paper Co. .,1,66,secondary_test
"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` Mobility Business Suite represents a significant milestone in the company 's offering to the telecommunications industry .",1,66,secondary_test
"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj .",1,66,secondary_test
"The new agreement , which expands a long-established cooperation between the companies , involves the transfer of certain engineering and documentation functions from Larox to Etteplan .",1,66,secondary_test
The divestment of Raisio 's margarine business in May 2009 gave the company a clearer focus on grain-based products .,1,66,secondary_test
"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",1,66,secondary_test
"In addition , the production at the Varpaisj+â rvi factory will be stopped at the beginning of April 2009 .",-1,66,secondary_test
The company said that the fall in turnover had been planned .,-1,66,secondary_test
The maritime administration said the ships had ignored warnings about the icy conditions .,-1,66,secondary_test
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,-1,66,secondary_test
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,-1,66,secondary_test
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",-1,66,secondary_test
"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",-1,66,secondary_test
The total need for staff cuts corresponds to about 300 man-years .,-1,66,secondary_test
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",-1,66,secondary_test
The measures result from decreased demand in technical design and product information .,-1,66,secondary_test
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,-1,66,secondary_test
Border Guard Service has banned the mooring of the company car-shipping ferry on its test travel at the railroad-car terminal of the Russian port as the border checkpoint is not yet ready .,-1,66,secondary_test
Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,-1,66,secondary_test
"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",-1,66,secondary_test
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,-1,66,secondary_test
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",-1,66,secondary_test
"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia .",-1,66,secondary_test
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,-1,66,secondary_test
Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,-1,66,secondary_test
"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",-1,66,secondary_test
"In Finland , metal sector company Componenta is laying off temporarily the staff of its Pori mill from Christmas 2008 till 6 January 2009 .",-1,66,secondary_test
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,-1,66,secondary_test
"The largest restructuring is planned for Italy , where negotiations on about 40 job cuts are to be initiated today , the company noted .",-1,66,secondary_test
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",-1,66,secondary_test
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,-1,66,secondary_test
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,-1,66,secondary_test
in Finland Finnish pharmaceutical company Orion Corporation OMX Helsinki : ORNAV said on Wednesday 7 January that it has concluded its personnel negotiations in Finland and will reduce the number of personnel by 205 .,-1,66,secondary_test
Metso estimates the need for personnel reductions to amount to 25 people .,-1,66,secondary_test
"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",-1,66,secondary_test
Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .,-1,66,secondary_test
"On the other hand , Finnish sawmills ' production has decreased even more .",-1,66,secondary_test
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",-1,66,secondary_test
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",-1,66,secondary_test
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,-1,66,secondary_test
stores 16 March 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said yesterday that it will cut a total of 28 jobs in its units Tiimari Retail Ltd and Gallerix Finland Ltd as a result of the closure of shops .,-1,66,secondary_test
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",-1,66,secondary_test
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",-1,66,secondary_test
The repurchases shall decrease the distributable capital and reserves .,-1,66,secondary_test
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",-1,66,secondary_test
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",-1,66,secondary_test
"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements .",-1,66,secondary_test
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",-1,66,secondary_test
"In this case , the effect would be negative in Finland .",-1,66,secondary_test
A total of 140 jobs will be reduced at the Raahe Steel Works .,-1,66,secondary_test
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,-1,66,secondary_test
55 workers in +àm+Ñl will be affected by the close-down .,-1,66,secondary_test
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",-1,66,secondary_test
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",-1,66,secondary_test
"Konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",-1,66,secondary_test
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",-1,66,secondary_test
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",-1,66,secondary_test
"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",-1,66,secondary_test
The reduction notice applied to 17 people .,-1,66,secondary_test
"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",-1,66,secondary_test
"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",-1,66,secondary_test
Full-year operating result for 2008 was 3.6 million negative .,-1,66,secondary_test
The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .,0,66,secondary_test
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",0,66,secondary_test
"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .",0,66,secondary_test
"The program included operational improvements and reductions in personnel , mainly in the Netherlands .",0,66,secondary_test
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,0,66,secondary_test
"New Delhi , Feb. 12 -- Korteniemi Anneli , Helokunnas Tuija , Peltola Marjo , Keskinen Jukka , Salminen Jussi , Tusa Kia and Janhonen Risto of Nokia Telecommunications Oy , Espoo , Finland have developed cable adjustment device .",0,66,secondary_test
Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,0,66,secondary_test
"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",0,66,secondary_test
"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+ñki Oyj 's CEO Jukka Moisio .",0,66,secondary_test
"As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 .",0,66,secondary_test
"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .",0,66,secondary_test
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland 's troubled Kaupthing Bank for 414 million kronor $ 49.5 million in cash .,0,66,secondary_test
"In addition to software development , the new design unit will provide for mechanical engineering and electronics design .",0,66,secondary_test
Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,0,66,secondary_test
Antniemi refuted a report by the Finnish daily Turun Sanomat as if the company was reorganizing its operations in the Baltic countries .,0,66,secondary_test
"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store .",0,66,secondary_test
"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew .",0,66,secondary_test
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,0,66,secondary_test
"`` As a part of the Eseries business promise , the Nokia E50 has been equipped with a variety of email solutions in a small and stylised package , '' said Dave Grannan , general manager , Enterprise Solutions , Nokia .",0,66,secondary_test
The winner does not have to be present to win .,0,66,secondary_test
The first quarter was as expected and was in line with analysts ' forecasts .,0,66,secondary_test
"Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 .",0,66,secondary_test
Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,0,66,secondary_test
The last job losses related to these reductions will take place during 2010 .,0,66,secondary_test
"The manager is critical of politicians ' failure to differentiate between beleaguered European financial institutions and Skandinavian banks , `` which sailed through the crisis without issues '' .",0,66,secondary_test
Europe however remains an important and strong market for us .,0,66,secondary_test
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",0,66,secondary_test
YIT Kausta will build commercial and residential highrises in Virsuliskes area .,0,66,secondary_test
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,0,66,secondary_test
`` Fixed Mobile Convergence solutions represent a key value proposition in today 's communication market .,0,66,secondary_test
"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .",0,66,secondary_test
"So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes .",0,66,secondary_test
Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .,0,66,secondary_test
"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",0,66,secondary_test
"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .",0,66,secondary_test
Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,0,66,secondary_test
"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",0,66,secondary_test
"Germany 's innovational centers are united in focusing at companies , which aim at use of technologies and development of new kinds of activity , through supporting the beginner companies with the entire spectrum of their services .",0,66,secondary_test
"Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for .",0,66,secondary_test
"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",0,66,secondary_test
"According to the company , the lay-offs will be temporary .",0,66,secondary_test
